doc.id,text,date,section.name,news.desk,material
982,Virus Takes Center Stage as Pence and Harris Skirmish in Debate,10/8/2020,U.S.,Politics,News
983,An Afghan Boy’s Rape and Death Prompt a Rare Response: Arrests,10/9/2020,World,Foreign,News
984,The Weekender,10/9/2020,Briefing,Briefing,Interactive Feature
985,Trump Lashes Out at His Cabinet With Calls to Indict Political Rivals,10/9/2020,U.S.,Washington,News
986,Trump’s Campaign Talk of Troop Withdrawals Doesn’t Match Military Reality,10/11/2020,U.S.,Washington,News
987,Top General Declines to Endorse Trump’s Afghan Withdrawal Timeline,10/12/2020,World,Washington,News
988,Taliban Test Afghan and U.S. Resolve in Talks by Attacking a City,10/12/2020,World,Foreign,News
989,"In Former Taliban Stronghold, Defiant Women Hit the Gym",10/12/2020,World,Foreign,News
990,Your Tuesday Briefing,10/12/2020,Briefing,NYTNow,briefing
991,Women at the Peace Table Yields Better Results. Why Is It Still So Rare?,10/13/2020,U.S.,Gender,News
992,Rep. Max Rose Seeks 2nd Term by Targeting Fellow Democrat: De Blasio,10/13/2020,New York,Metro,News
993,"Belarus, Vaccines, Amy Coney Barrett: Your Tuesday Briefing",10/13/2020,Briefing,NYTNow,briefing
994,He Built a Trump Statue and Worshiped It. Then He Collapsed.,10/14/2020,World,Foreign,News
995,Trump’s Tweets on Troop Withdrawals Unnerve Pentagon,10/15/2020,U.S.,Washington,News
996,How One of the Most Stable Nations in West Africa Descended Into Mayhem,10/15/2020,Magazine,Magazine,News
997,This Ex-Taliban Commander Is Now the Face of Afghan Security,10/16/2020,World,Foreign,News
998,"Trump Aide Insists U.S. Will Reduce Forces in Afghanistan to 2,500 Troops",10/16/2020,U.S.,Washington,News
999,Turning the Lights Down on the At War Channel,10/16/2020,Magazine,Magazine,News
1000,The Perfect Phrase for This Relentless Year,10/16/2020,Style,Styles,News
1001,The Foreign Policy That Wasn’t,10/16/2020,Opinion,Editorial,Op-Ed
1002,When Armed Vigilantes Are Summoned With a Few Keystrokes,10/16/2020,U.S.,National,News
1003,"A Storied Female Warlord Surrenders, Taliban Say, Exposing Afghan Weakness",10/18/2020,World,Foreign,News
1004,Refugees Who Assisted the U.S. Military Find the Door to America Slammed Shut,10/18/2020,U.S.,Washington,News
1005,Trump’s Sanctions on International Court May Do Little Beyond Alienating Allies,10/18/2020,World,Washington,News
1006,"‘If There Were No Hashish Here, You Wouldn’t See a Single House’",10/19/2020,World,Foreign,News
1007,Your Tuesday Briefing,10/19/2020,Briefing,NYTNow,briefing
1008,Your Tuesday Briefing,10/19/2020,Briefing,NYTNow,briefing
1009,Got Crystals? Gem Mining Could Be Your Full-Time Job,10/19/2020,Style,Styles,News
1010,U.S. Diplomats and Spies Battle Trump Administration Over Suspected Attacks,10/19/2020,U.S.,Washington,News
1011,Demand for Pakistan Visas Sets Off Deadly Stampede in Afghanistan,10/21/2020,World,Foreign,News
1012,"Nancy Goroff, Antonio Delgado and Tom Malinowski for Congress",10/21/2020,Opinion,Editorial,Editorial
1013,Your Thursday Briefing,10/21/2020,Briefing,NYTNow,briefing
1014,Your Wednesday Briefing,10/21/2020,Briefing,NYTNow,briefing
1015,Your Wednesday Briefing,10/21/2020,Briefing,NYTNow,briefing
1016,Does Palantir See Too Much?,10/21/2020,Magazine,Magazine,Interactive Feature
1017,A Radical Cleric Ignites an Islamist Resistance in Afghanistan,10/22/2020,World,Foreign,News
1018,Grenell Pursued Talks Over Change of Power in Venezuela,10/22/2020,U.S.,Washington,News
1019,The Final Debate Will Cover Six Main Issues. Here’s Where Trump and Biden Stand.,10/22/2020,U.S.,Politics,News
1020,America and the Virus: ‘A Colossal Failure of Leadership’,10/22/2020,Opinion,OpEd,Op-Ed
1021,"Since the defense secretary opposed quelling civil unrest with troops, his days with Trump have been numbered.",10/23/2020,U.S.,Politics,News
1022,The Shrinking of the American Mind,10/23/2020,Opinion,OpEd,Op-Ed
1023,Libya Cease-Fire Raises Hopes for Full Peace Deal,10/23/2020,World,Foreign,News
1024,"Inspired by Miniature Paintings, Shahzia Sikander Goes Big",10/23/2020,Arts,SpecialSections,News
1025,A Trump Victory May Push His Defense Secretary Out an Open Door,10/23/2020,U.S.,Washington,News
1026,Out of Work in America,10/23/2020,U.S.,U.S.,Interactive Feature
1027,Deadly Explosion Hits Kabul Tutoring Center,10/24/2020,World,Foreign,News
1028,The Last Temptation of NeverTrump,10/24/2020,Opinion,OpEd,Op-Ed
1029,Joe Biden Had Close Ties With Police Leaders. Will They Help Him Now?,10/24/2020,U.S.,Politics,News
1030,"Swing-District Democrats, Defying Predictions, Poised to Help Keep House",10/26/2020,U.S.,Washington,News
1031,How an Afghan Political Crisis Derailed Payments to War Victims,10/27/2020,World,Foreign,News
1032,Al Qaeda Feels Losses in Syria and Afghanistan but Stays Resilient,10/27/2020,World,Washington,News
1033,Blast at Pakistani Religious School Kills at Least 8,10/27/2020,World,Foreign,News
1034,An Expedition Deep Into an Underworld of Online Hate,10/27/2020,Books,BookReview,Review
1035,"After 12 Years, Arrest Made in Abduction of Former Times Journalist David Rohde",10/28/2020,World,Foreign,News
1036,A Podcast Answers a Fast-Food Question That Nobody Is Asking,10/28/2020,Business Day,SundayBusiness,News
1037,Court Rejects Appeal of Guantánamo Convict Who Rejoined Al Qaeda,10/28/2020,U.S.,Washington,News
1038,Welcome Home! Now Go Straight to Quarantine (or Not),10/28/2020,Travel,Travel,News
1039,Trump Couldn’t Play the Tough Guy This Time,10/28/2020,Opinion,OpEd,Op-Ed
1040,"Arrested, Tortured, Imprisoned: The U.S. Contractors Abandoned in Kuwait",10/28/2020,Magazine,Magazine,News
1041,The Woman President Who Wasn’t,10/30/2020,Opinion,OpEd,Op-Ed
1042,The Friendships Trump Pulled Apart,10/30/2020,Opinion,OpEd,Op-Ed
1043,The Day After Election Day,10/30/2020,Opinion,OpEd,Op-Ed
1044,An Ancient Hill and Forgotten Dead: Afghanistan’s Haunted Outpost,10/31/2020,World,Foreign,News
1045,15 Sean Connery Movies to Stream,10/31/2020,Movies,Culture,News
1046,"Deadly Taliban Attack Probably Used Drone, a Worrisome Shift",11/1/2020,World,Foreign,News
1047,"On Afghan Highways, Even the Police Fear the Taliban’s Toll Collectors",11/2/2020,World,Foreign,News
1048,"Gunmen Storm Kabul University, Killing at Least 19",11/2/2020,World,Foreign,News
1049,Your Tuesday Briefing,11/2/2020,Briefing,NYTNow,briefing
1050,Deadly School Assault Catapults Kabul into Even More Despair,11/3/2020,World,Foreign,News
1051,"Robert Fisk, Intrepid War Correspondent, Dies at 74",11/3/2020,World,Obits,Obituary (Obit)
1052,"Vienna, U.S. Election, Covid-19: Your Tuesday Briefing",11/3/2020,Briefing,NYTNow,briefing
1053,How Could Joe Biden Really Want This Job?,11/3/2020,Opinion,OpEd,Op-Ed
1054,Texas Election Results: Second Congressional District,11/3/2020,U.S.,Graphics,NA
1055,How to Watch Tonight,11/3/2020,Briefing,NYTNow,briefing
1056,Texas Election Results,11/3/2020,U.S.,Graphics,NA
1057,"Refugees’ Trauma, and Saving Migrant Children",11/3/2020,Opinion,Letters,Letter
1058,A Transfixed World Awaits What’s Next in America,11/4/2020,World,Foreign,News
1059,Afghan War Casualty Report: November 2020,11/5/2020,Magazine,Magazine,News
1060,"An Afghan Mayor Expected to Die. Instead, She Lost Her Father.",11/6/2020,World,Foreign,News
1061,"News Quiz: U.S. Election, Sean Connery, International Space Station",11/6/2020,Briefing,Briefing,Interactive Feature
1062,Susan Collins Was Never Going to Lose,11/6/2020,Opinion,OpEd,Op-Ed
1063,8 Picture Books About Books,11/6/2020,Books,BookReview,Review
1064,"String of Attacks Have People in Kabul Pointing a Finger, at the Government",11/7/2020,World,Foreign,News
1065,Biden Victory Brings Sighs of Relief Overseas,11/7/2020,World,Foreign,News
1066,Republicans and Democrats Agree: End the War on Drugs,11/7/2020,Opinion,OpEd,Op-Ed
1067,‘It’s Like Falling in Love’: Israeli Entrepreneurs Welcomed in Dubai,11/7/2020,World,Foreign,News
1068,Europe Lauds Biden but Wonders: What Will He Want? How Long Will He Stay?,11/8/2020,World,Foreign,News
1069,Your Monday Briefing,11/8/2020,Briefing,NYTNow,briefing
1070,Norway Has a Must-See Team. Barely Anyone Can Watch It.,11/8/2020,Sports,Sports,News
1071,The End of ‘America First’: How Biden Says He Will Re-engage With the World,11/9/2020,U.S.,Washington,News
1072,"Trump Fires Mark Esper, Defense Secretary Who Opposed Use of Troops on U.S. Streets",11/9/2020,U.S.,Washington,News
1073,Strong Turnout in Myanmar Shows Voters’ Support for Nascent Democracy,11/9/2020,World,Foreign,News
1074,"For Veterans Day, Some Former Military Officers Reflect on Lessons From Their Parents",11/10/2020,Well,Well,News
1075,Arkansas Police Chief Resigns After Calling for Democrats to Be Executed,11/10/2020,U.S.,Express,News
1076,An Obama Restoration on Foreign Policy? Familiar Faces Could Fill Biden’s Team,11/10/2020,U.S.,Washington,News
1077,He Sidestepped Pompeo and Got Slapped Down. Now He’s the New Pentagon Chief.,11/11/2020,U.S.,Washington,News
1078,"Doug Emhoff, Harris’s husband, will leave his law firm.",11/11/2020,U.S.,Washington,News
1079,Trump Still Has 70 Days to Wreak Havoc Around the World,11/11/2020,Opinion,OpEd,Op-Ed
1080,U.S. Embassy in Pakistan Apologizes for Retweeting Election Post,11/11/2020,World,Foreign,News
1081,Who Will Fill Biden’s Cabinet?,11/11/2020,U.S.,Politics,News
1082,"U.S. Troops Are Still Leaving, but Afghans Hope Biden Will Help",11/12/2020,World,Foreign,News
1083,Trump Stacks the Pentagon and Intel Agencies With Loyalists. To What End?,11/12/2020,U.S.,Washington,News
1084,Trump has installed loyalists at the Pentagon and intelligence agencies. But to what end?,11/12/2020,U.S.,Washington,News
1085,Your Friday Briefing,11/12/2020,Briefing,NYTNow,briefing
1086,Nobel Peace Prize: A Growing List of Questionable Choices,11/12/2020,World,Foreign,News
1087,Pearl Chin Dies at 71; Her Knitting Store Was a Haven and a Hub,11/12/2020,New York,Obits,Obituary (Obit)
1088,Trump’s Refusal to Concede,11/12/2020,Briefing,NYTNow,briefing
1089,Chimamanda Ngozi Adichie on Barack Obama’s ‘A Promised Land’,11/12/2020,Books,BookReview,Review
1090,Trump Pentagon Purge Could Accelerate His Goal to Pull Troops From Afghanistan,11/13/2020,U.S.,Washington,News
1091,"Al Qaeda’s No. 2, Accused in U.S. Embassy Attacks, Was Killed in Iran",11/14/2020,World,Foreign,News
1092,"Joanna Harcourt-Smith, 74, Dies; Lived a ‘Psychedelic Love Story’",11/14/2020,U.S.,Obits,Obituary (Obit)
1093,It Took a Century to Open a Mosque in Athens. Then Came the Pandemic.,11/14/2020,World,Foreign,News
1094,"Roger Jepsen, Senator From Iowa and Reagan Ally, Dies at 91",11/15/2020,Obituaries,Obits,Obituary (Obit)
1095,"Roger Jepsen, Senator From Iowa and Reagan Ally, Dies at 91",11/15/2020,Obituaries,Obits,Obituary (Obit)
1096,"In ‘A Promised Land,’ Barack Obama Thinks — and Thinks Some More — Over His First Term",11/15/2020,Books,Books,Review
1097,Want a Preview of President Biden? Look to the Campaign Trail,11/15/2020,U.S.,Politics,News
1098,"Trump Is Said to Be Preparing to Withdraw Troops From Afghanistan, Iraq and Somalia",11/16/2020,U.S.,Washington,News
1099,"Vaccine, Biden, Arctic Oil: Your Monday Evening Briefing",11/16/2020,Briefing,NYTNow,briefing
1100,"‘The Nine Lives of Pakistan: Dispatches From a Precarious State,’ by Declan Walsh: An Excerpt",11/17/2020,Books,BookReview,Review
1101,"When I Step Outside, I Step Into a Country of Men Who Stare",11/17/2020,Opinion,OpEd,Op-Ed
1102,He Reported on Pakistan’s Volatile Politics. Then He Became a Story Himself.,11/17/2020,Books,BookReview,Review
1103,Vaccine Optimism,11/17/2020,Briefing,NYTNow,briefing
1104,‘How Did We Not Know?’ Gun Owners Confront a Suicide Epidemic,11/17/2020,Health,Science,News
1105,"U.S. Troops Are Packing Up, Ready or Not",11/18/2020,World,Foreign,News
1106,"The Rise, Fall and Resurrection of the Taliban",11/18/2020,Podcasts,Podcasts,News
1107,"Covid-19 Immunity, Palestinians, Biden: Your Wednesday Briefing",11/18/2020,Briefing,NYTNow,briefing
1108,Asylum Seeker Who Lost His Son on Trek to Greece Is Charged in His Death,11/18/2020,World,Foreign,News
1109,Somalia Worries That a U.S. Withdrawal Will Be Disastrous,11/18/2020,World,Foreign,News
1110,"N.Y.C. Schools, Biden Transition, Ina Garten: Your Wednesday Evening Briefing",11/18/2020,Briefing,NYTNow,briefing
1111,Your Thursday Briefing,11/18/2020,Briefing,NYTNow,briefing
1112,Blood Lust and Demigods: Behind an Australian Force’s Slaughter of Helpless Afghans,11/19/2020,World,Foreign,News
1113,Your Friday Briefing,11/19/2020,Briefing,NYTNow,briefing
1114,"Parents Adjusting to the U.S., Then to Remote Learning",11/19/2020,Neediest Cases,Neediest,News
1115,"Covid-19, Boris Johnson, U.S. Troops: Your Thursday Briefing",11/19/2020,Briefing,NYTNow,briefing
1116,Virus Words vs. Actions,11/19/2020,Briefing,NYTNow,briefing
1117,"Kim Ng, Baseball’s Groundbreaking Woman",11/20/2020,Opinion,Letters,Letter
1118,"Overcoming Cancer, Postponements and a Hurricane",11/20/2020,Fashion & Style,Styles,News
1119,"Amid the Coronavirus Pandemic, a Battle Emerges Over Green Spaces",11/20/2020,World,Foreign,Letter
1120,"As Pompeo Prepared to Meet Afghan Warring Parties, New Attack Struck Kabul",11/21/2020,World,Foreign,News
1121,Trump Using Last Days to Lock In Policies and Make Biden’s Task More Difficult,11/21/2020,U.S.,Washington,News
1122,Transporting You Far Away,11/21/2020,Podcasts,Podcasts,News
1123,"For Netanyahu and Israel, Trump’s Gifts Kept on Coming",11/21/2020,World,Foreign,News
1124,"Where the Pomegranate Harvest Is Life, the Taliban Brought Ruin",11/22/2020,World,Foreign,News
1125,Your Monday Briefing,11/22/2020,Briefing,NYTNow,briefing
1126,"Thanksgiving, Coronavirus, Presidential Transition: Your Weekend Briefing",11/22/2020,Briefing,NYTNow,briefing
1127,‘I Forget About the World:’ Afghan Youth Find Escape in a Video Game,11/23/2020,World,Foreign,News
1128,Your Tuesday Briefing,11/23/2020,Briefing,NYTNow,briefing
1129,"Europe, Covid-19, Trump: Your Monday Briefing",11/23/2020,Briefing,NYTNow,briefing
1130,"Offbeat Streaming: ‘Knock Knock,’ ‘John Lewis’ and ‘Sleight’",11/23/2020,Movies,Culture,News
1131,"Cabinet Picks, Michigan Vote, Vaccines: Your Monday Evening Briefing",11/23/2020,Briefing,NYTNow,briefing
1132,Can an Algorithm Prevent Suicide?,11/23/2020,Health,Science,News
1133,Biden Has Chosen a Secretary of State,11/23/2020,U.S.,Politics,News
1134,Biden Has Chosen a Secretary of State,11/23/2020,U.S.,Politics,News
1135,"Biden Will Nominate First Women to Lead Treasury and Intelligence, and First Latino to Run Homeland Security",11/23/2020,U.S.,Washington,News
1136,Donors Pledge Less Aid to Afghanistan During a Violent Chapter,11/24/2020,World,Foreign,News
1137,The Truth That Iraq and Afghanistan Veterans Know,11/24/2020,Opinion,OpEd,Op-Ed
1138,Cooperative Competition Is Possible Between China and the U.S.,11/24/2020,Opinion,OpEd,Op-Ed
1139,Outcry in France After Police Clear Paris Migrant Camp,11/24/2020,World,Foreign,News
1140,Imagine a World Without Apps,11/24/2020,Technology,NewsDesk,News
1141,Your Wednesday Briefing,11/24/2020,Briefing,NYTNow,briefing
1142,C.I.A. Officer Is Killed in Somalia,11/25/2020,U.S.,Washington,News
1143,"Casualties From Banned Cluster Bombs Nearly Doubled in 2019, Mostly in Syria",11/25/2020,World,Foreign,News
1144,The Museums of Paris: A Source for Gifts Inspired by the Past,11/25/2020,Style,SpecialSections,News
1145,"Casualties From Banned Cluster Bombs Nearly Doubled in 2019, Mostly in Syria",11/25/2020,World,Foreign,News
1146,The Museums of Paris: A Source for Gifts Inspired by the Past,11/25/2020,Style,SpecialSections,News
1147,Assaults and Occupations in Wartime,11/25/2020,Books,BookReview,Review
1148,Your Wednesday Briefing,11/25/2020,Briefing,NYTNow,briefing
1149,Biden’s National Security Team Offers a Sharp Turn. But in Which Direction?,11/25/2020,U.S.,Washington,News
1150,11 New Books We Recommend This Week,11/26/2020,Books,BookReview,List
1151,The Best Books to Give This Year,11/26/2020,Books,Books,Interactive Feature
1152,Australian Military Moves to Dismiss Soldiers After Killings in Afghanistan,11/27/2020,World,Foreign,News
1153,Pentagon Chief Visits Somalia Ahead of Expected Troop Cuts,11/27/2020,World,Washington,News
1154,"A Mother, Her Son — and Their 1,500-Mile Search for Home",11/27/2020,World,Foreign,News
1155,"Afghan Leader Digs In on Peace Talks Despite Progress, Officials Say",11/29/2020,World,Foreign,News
1156,Australia Demands Apology After Chinese Official’s ‘Repugnant’ Tweet,11/30/2020,World,,Video
1157,Australia Condemns Lurid Tweet by Chinese Official as ‘Disgusting Slur’,11/30/2020,World,Foreign,News
1158,Your Tuesday Briefing,11/30/2020,Briefing,NYTNow,briefing
1159,When an Enemy’s Cultural Heritage Becomes One’s Own,11/30/2020,Opinion,OpEd,Op-Ed
1160,How to End a Forever War,12/1/2020,Opinion,Editorial,Editorial
1161,"The World in a Vise: Sounding the Alarm on China, Then Running for Shelter",12/1/2020,World,Foreign,News
1162,"Homeira Qaderi Wants Her Son to Know Her, So She Wrote a Book",12/1/2020,Books,BookReview,News
1163,"‘Dancing in the Mosque: An Afghan Mother’s Letter to her Son,’ by Homeira Qaderi: An Excerpt",12/1/2020,Books,BookReview,Review
1164,Another Official Is Ousted From the Pentagon,12/1/2020,U.S.,Washington,News
1165,The head of the Pentagon’s Defeat ISIS Task Force was ousted and his office disbanded.,12/1/2020,U.S.,Washington,News
1166,Your Wednesday Briefing,12/1/2020,Briefing,NYTNow,briefing
1167,Afghan and Taliban Negotiators Agree on Peace Talks’ Procedures,12/2/2020,World,Foreign,News
1168,Your Thursday Briefing,12/2/2020,Briefing,NYTNow,briefing
1169,Your Thursday Briefing,12/2/2020,Briefing,NYTNow,briefing
